Review;Rating
I travelled Nov. 3rd to Nov. 17th. Not my first trip to this resort, but I was a little worried to travel so early in the season. Departed Toronto just an hour late and arrived after an amazing flight with OWG into Holguin. This is a new airline operated by Hola sun and I was very pleasantly surprised. The food was the best I have ever had on a plane - served piping hot with the most wonderful brownie!! The flight crew were personable and professional. The flight was not full, so weight limit were a little flexible. Most of the plane was full of tourist staying in Holguin and only 7 of us boarded a small bus/taxi to Santiago. We did stop about half way there and were able to grab a beer, use the facilities and have a quick smoke. Off to Santiago where we had 2 stops to drop off;5
Beautiful area. Rooms are old and antiquated. The staff at the lobby bar ran the place. Would save glasses and tables for their guest friends to the point of being ridiculous. I like to tip for service, not tip to get service. Been to many all inclusive and this is definately lower tier.;1
It was our 15th trip to Cuba since 2009 and third to the Hotel Carisol los Corales, so we knew what to expect. We paid $1,295 CAN per person for 2 weeks (from Toronto) for a junior suite in the Carisol Section.  We departed Toronto on January 8, 2020 from Toronto’s Pearson Airport (Sunwing Airlines). The take-off was late due to deicing. The flight lasted 3 hours and 41 minutes and we landed in Santiago de Cuba.  Because of TripAdvisor’s Cuban forums, I knew that unexpectedly the US dollar had become a hot commodity in Cuba—and we happened to have plenty of US dollars anyway. Within minutes of getting on the bus we exchanged $200 US and got 200 CUC—more than enough for our whole stay. I also ran to the nearby kiosk and got 2 cans of Cuban beer (Cristal). It turned out that I;3
Stayed at Los Corales March 03-10. Amazing, very friendly people. Recommend Marleidis (Customer Service), Miguel (dishwasher/helper). Victor (Ranchon-ask him for honey), Elizabeth (Ranchon waitress), Iliana (maid bldg 5). Jorge (Pool Bar), Argelio (security guard) The beach is OK--definitely not sandy like Varadero, and no turquoise water either. But, if you bring snorkels you can see colorful fish between the shore and the reef.  The food is basic--small buffet with the same thing everyday. The longest lineup is for omelettes every breakfast. Forget about desert & ice cream--non existent. Also, they are not big on fruits--may be March is not the best time of the year for fruit.  The best food was at the Cuban restaurant, so we booked it almost every day.  Strong rain/wind;3
This was our second time staying at Amigo Carisol Los Corales, previously 3 years ago. We said we would never return due to a variety of issues but decided to anyways because of the $650 price tag.  Im glad we gave it another try, this time was much better! We had a great week!!!  We stayed on the Carisol side in a suite which was nice and big.  They say the suites are renovated, although the decor appeared it was from the 90’s , but I do think the bathrooms were redone in last few years.  The suites were clean, big, comfortable and a nice upgrade.  After seeing the bungalows on Los Corales side i would say they have a better ocean view and are closer to most resort amenities then the suites, but I have to say the suites were great.  Carisol side is perfect for those wanting;3
Being in our late twenties my wife and I were easily the youngest couple by at least 20 years. That being said we had a fantastic time and will be back.  We stayed on Los Corales side of the sister resorts. Our room was in need of updates but it was good enough to sleep, shower and put your bathing suit on in. Didn't bother with the in room safe and instead opted for our locked suitcase and just kept the key with our room key (which is an actual key) with no issue. Breakfast was always good, omelette station was fantastic with Elizabeth always fast and smiling. Lunch with burgers, hot dogs, pizza was always fast and easy. Dinner with two hot stations, rice, potatoes, and a mix of other dishes was always good. Anything on the buffet was typically not hot, but there was always;4
Travelled to Los Coralas Feb 11 to 25 with my wife.  We both had an enjoyable 2 weeks.  The staff were friendly and accommodating.  We always had adequate hot water in our room.  The air conditioning worked fine during our stay.  The food was adequate for our needs.  No significant shortages.  Students were working in the restaurant and did an excellent job.  These students are not paid but told us they get to keep tips.  Be generous. Something that needs to be corrected is the amount of food taken out of the restaurant by  a few tourist.  This results in  less for guests and results in waiting longer in line at the grill.   Also too many dogs -  need to be removed. We would return to this hotel next year if the price is right.;4
Travelled to Carisol los Corales in Feb 2020 with hubby. We stayed on the Corales side, as we have in the past but spent lots of time on the Carisol side as we prefer their lobby. Much larger and more comfortable chairs. It was a very pleasant 2 weeks. The weather in the southern part of Cuba is one of their biggest assets. We enjoy the beach here because it is large, and has many trees. There is enough room for everyone and always a choice of sun or shade.  The staff are excellent and do everything possible to make your vacation comfortable and enjoyable. There was always Cristal beer during our visit and red wine in the restaurant. There was an abundance of lettuce, tomatoes, cabbage & carrots during our stay, but a shortage of fruit, especially papaya. The only other fruit;3
"1. Going through Cuban Customs is a mess - the exits from immigration booths are very close to the security checking machine blocking your way out. 2. Travel from the airport takes around 1 hour.  3. Check-in smooth. Alejandro was very helpful. 4. There are good and bad rooms. 5. 110V 6. Food with very limited choices. Do not drink water from the vases because birds like to take baths in them. (wondering where did the cooked/grilled chicken breasts go - not seen around. 7. Some Staff needs to be retrained on how to serve clients properly without expecting tips. 8. The staff has been seen eating oranges and other delicacies, not seen at the restaurants. 9. Beach, not the best - weeds & small sharp shells/stones in the water. 10. Security Guards present; however, some illegal";2
My family and I absolutely loves this little gem! Beautiful rural scenery, with the Sierra Maetra mountain range to one side and the ocean to the other. Hard to beat the staff and other locals, offering horse and buggy rides to the nearby lagoon and aquarium. Rooms are clean and have everything you need for a comfy stay.  Food is simple but consistently good. The only change I would like to see them make is getting rid of the plastic cups and straws that are offered at the pool bars, and the disposible stir sticks served at the lobby bars. I have reached out to the hotel to offer to help them purchase reuseable plastic cups. Lots of guests brought their own travel mugs, which I would encourage all potential guests to do. Looking forward to returning once this change has happened;5
My wife and I have decided for a last minute one week retreat in Cuba with Sunwing Vacations and we do not regret it.  Check-in was swift and friendly (thanks to Alexandro and Rafael at the front desk!). The suite in Bungalow J-3 was nice and clean with...one shortcoming - poor water pressure (hopefully temporary). Food was simple but fresh and we enjoyed breakfast omelets served with freshly baked bread and excellent coffee (thank you Jose).  Lunch and dinner looked alike but on Valentines Day, the buffet looked amazing! Fried chicken, pork and beef were served hot and no shortage of salads, vegetables and sweets (my favorite was caramel pudding). We've got what we've paid for: unbeatable weather with wonderful non-crowded beach, mountain scenery, warm and crystal-clear water.;3
Dated resort but for the price it was good.   Buffet was definitely too small for the amount of people and selection wasnt great but I'm not picky, there is always something.  Grounds as most were well kept. And very interesting has lots of character! It used to be 4 resorts that amalgamated. Lots of photo opts.   It was over an hr to get to the resort from the airport. Wasnt a fan of that. Also no slushie drinks and constantly running out of ice.   Beach has lots of locals as it is a public beach. Pools were not in the best shape. And rooms were very dated however very large but no dresser. Wifi for $  I had a great time with my family and there was a lot of return guests however I wont be one of them. Thanks for the hospitality Club Amigo;3
This is a typical Cuban resort only made better by the great workers and bartenders at the resort. The rooms are basic but clean, you do need water shoes for the sea the pool is good. The pool bar is the most fun place, Francisco, Ivan, Dennis, Jorge and Santos are the best bartenders. They make the best drinks and are always laughing and making jokes, they really make you feel welcome and glad to see you.  The food at the buffet was ok but never hot so it kind of lost its flavor because of it.  I am not a fan of cold pork beef and chicken and a big disappointment when they had very little fresh fruit, that I really missed. They do seem to have more senior citizens then anyone else. It would have to be a really really cheap price for me to return.;3
Hi everyone, I spent a week at the Club Amigo Carisol LosCorales and here is my review. I booked this trip leaving from Montreal through VoyagesBergeron for 1015.00$ Canadian in single occupancy from December 25th in their premium bungalow. The checking in part was fast and in a few minutes I was in my room B3. This room was dated definitely in need of love, paint flaking off the wall, curtain pole was broken, but the view was a beach view. Prior to booking I had looked at a picture which looked real nice and I guess my expectation would have been of that equivalent since I had paid a premium. I forgot to mention that when I checked in I asked for a security safe and I was told to come back later which I did. I paid her 14 CUCs and she told me that someone would come by to set;3
We came to Club Amigo February 19 2020 with our Family of 5. The hotel staff was amazing,  made sure we were happy and had what we all needed at all times.  The pools were amazing,  my kids loved loved it! The beach was just beautiful! The views I cant even put into words!  A must see! The food was good, my kids ate everything! We will be back! Ty staff for all yur hard work King family;5
The staff were all amazing, drinks were good, rooms clean and nice, a large selection of food, cute beach. Water is drinkable can’t wait to go back. Favourite spot to be was the water bar, bar tenders were the best. Landscaping was so beautiful as well.;5
