Review;Rating
Our family of four had a fantastic time.  This is a great place for families. There were things to do for kids of all ages, including teens. Our kids (6&8) loved Star Camp! Rosa, Ismael, and Montse are the best!;5
Very nice resort. Traveled with a group of friends and we had a great time. However, the check in process is a bit tenuous and disorganized. We set up our reservations months in advance and asked for specific buildings so we could all be together. They said no problem, that is until we tried to check in. We were told that this is under local control and based on availability once we are on property. Then again another group directly in front of us in line got the rooms we specifically requested as they didn't like their locations, so it was available when we got there. Also I wouldn't recommend the Mexican specialty restaurant. Food was sub par compared to the regular dining facility. The food in the main area was fabulous!!! Beds were comfy and the A/C worked great. Dressel;5
We are on day four of our holiday and can’t say enough good things about this place!   The resort chain has made a commitment to reducing their environmental footprint, which means the grounds are returning to a more “jungly” state and the plastic waste is minimized. Those are huge pluses in my view. Add adorable little cottages for rooms, great pools, good food, and a busy, yet not over-bearing, entertainment team…and I’m thinking we’ll be back!!;5
Loved it. Especially Daniella and Julian  The food and the shows was amazing I reallly enjoyed my vacaction with all my family  Thanks for all the good attention of the staff and the beautiful amenities.;5
Was a nice spot. Seemed like a lot of people come to scuba dive which we did not. The snack bar was a nice spot for a quick lunch. Room was not super big but also comfortable for sleeping. Some said there room was hot but our room was also super cold.;5
We went as a family of 10 (all couples). It’s beautiful, amazing food, activities to do all day. The only thing I regret is not finding Daniela and Gabriela on our last day to say goodbye! They made this vacation even more fun and felt like family to us! They remembered our names all week and we learned about each others families. They were so much fun and on top of the location, i will miss them dearly. Fabian was also great-fun and taught us about the animals! Can’t forget Jose in the shop at the front! He took so much time explaining the different chocolates and what different candies were put out during Dia de Muertos. He was so patient and oh so kind. We will definitely be back (and hope Daniela, Gabriela, Jose, and Fabian will still be working there)!;5
Until last year, the Iberostar Cozumel always reserved the restaurant just off the beach as its evening steakhouse. They changed their menu about seven months ago and it is now a family style restaurant featuring pulled pork, beef brisket, pork sausage, and lemon chicken thighs. It was a complete and total disappointment as we were looking forward to an evening with a nice steak dinner at what the Iberostar considers to be  one of its upscale restaurants.  For what it’s worth you’re better off eating at the main dining restaurant and having a wider variety of food. Do not waste your time at this restaurant.;3
We just returned from 10 wonderful days at the Iberostar resort on Cozumel Mexico. This was our fourth visit in several years. We like this resort because it is smaller than some and mostly oriented toward adults since it is a magnet for Scuba divers and snorkelers.  Everything was great again this year. The grounds are well kept. Our room was well maintained and clean. Food at the various restaurants was much better than than previous visits but it was always good. The one exception was at the Oriental restaurant where the chicken in my chicken Pad Thai was tough as shoe leather. Everything else was very good. Service by the various staff was all good and everyone says hello or Good Morning and such when they pass by. Restaurant service was very good.;5
"If you are looking for a quiet place to chillax and unwind this is your place. Food is good, staff is AMAZING, environment is set literally within the jungle with bungalow rooms (no bugs), good entertainment, pools are large even when the ""cruisers"" come in, the beach is gorgeous. They have filtered water stations all over the resort. They filter the water and ice. You still dont drink from the tap. The resort is a natural bird sanctuary. Lots of excursions, recommend snorkeling as it's along the 2nd largest coral reef in the world.  We did the Bar Hop, deep sea fishing and dune buggy excursions. All were well worth the money. The shoreline at the resort is all rock so you need water socks to get in. Beautiful sunsets. There is Alberto's, just a short walk down the beach which";4
Such a wonderful time! What a great experience thanks to Julian and Gabriela!! They are the best!! Beautiful property with fun living quarters! Food everywhere, you are always taken care of!!  Numerous species of wild live on the property and a variety of activities for the whole family!;5
