Review;Rating
We stayed at the Ameritania for our first trip to New York for a week! The Deluxe King is definitely spacious enough for two people! We stayed in room 915, upon check in the receptionist (forgot his name) mentioned that next door at the bar there is a comedy night every night and we decided to check if we had any noise from it. It was actually pretty okay the comedy night was only from 20:30 till 22:00 and we didn’t mind but if you are a light and early sleeper than I would suggest asking for a different room. The only thing we missed but knew about was the coffee and tea facility in the room, but you are able to get coffee in the morning in the lobby!  We enjoyed our stay very much and the hotel has an excellent location! But please go to Hell’s Kitchen for dinner options as we;4
Arrived late last night, the hotel staff were very welcoming and friendly, my room was upgraded to a bigger one, and had a deliciously hot shower and tumbled into the most comfortable bed I've ever slept in. Though it's on a noisy street I couldn't hear a thing (third floor). It's right by Carnegie Hall, the Ed Sullivan Theatre and MoMA. recommended!;5
This hotel is well located and the staff is the best, the check in was perfect and they upgraded our room. If you are looking for a safe hotel in NYC, you can go with no hesitation. A special thanks to JEFF. He gave us the best advices and was always available to help. MERCI Ameritania Hotel, we will come back soon.;5
The hotel is old but it’s clean and hospitable staff, especially the bellboy JEFF and other guys, polite staff, even the housekeepers, hotel is very accesible to all , thank you! I’ll invite/ refer to other frienfs;5
Just writing this whilst waiting to fly home from Newark airport, we stayed at The Ameritania after a recommendation from our travel agent and reading TA reviews, the hotel sits nicely in between Central Park and Times Square so we found it to be quite nicely placed, we had room 417 which was quiet as far as the noise of NYC although there was a constant hum from the air conditioning unit outside (ear plugs worked a treat) and our view was shocking (a wall) !, the room although dated was clean and had all we needed, a comfortable bed a decent shower, clean towels, safe, iron and ironing board even an umbrella to use, it could have done with some more storage for your clothes, there was no breakfast at the hotel which suited us as we wanted to eat out, there was complimentary tea;4
This hotel is very well situated, near to Times Square and Central Park. We really felt safe and considered in this hotel : from the checkin to the check out, everything was perfect. A very big thank you to Jeff that welcomed us so well, and booked our taxi to go back to JFK Airport. He answered all the questions we had, and was always available. A very big thank you to the reception team too, that has been so nice to us, and welcomed us very well. The room was clean and confortable. We slept very well on the bed, and the pillow was very comfortable.  We will go back to Ameritania at Times Square for sure !!! Thank you once again to all the team of this wonderful hotel !;5
Stayed for 3 nights. Room size was ok, working desk and small fridge  were really helpful and the barhrokm was great. Service was good, helpful staff, and the location is great. Only problem was the noise from outside as windows do not block it.;4
My partner and I stayed for one night to celebrate our new jobs. The staff was wonderful from the first time we walked in, all the way to check out. Special shout-out to Hugo, who was super attentive and accommodating! He elevated our experience.;5
Cute little boutique hotel.   Great location.  Very close to Times Square. Room was very small but it was fine as we were hardly in it.  Would stay here again as the location was perfect for us.  The hotel is attached to the Steven Colbert show building.;4
We recently had an overnight stay at the Americana at Times Square. We had a great experience! Our room was clean and comfortable. The staff were friendly and knowledgeable. One stand out employee was Iceiz, at the front desk. She was smiling and friendly, and answered all of our questions!! We will definitely stay here again!;5
とても良いホテルでした。女性ひとり旅でしたが、ホテルが安全な場所にあるので深夜でも安心して過ごせました。スタッフも親切で、特にMajid さんには助けていただき、感謝です。部屋は広くて心地よく、ベッドもシャワーも最高でした。ロケーションはマンハッタン中心地ですので、地下鉄もシアターも近いし本当に便利です。しかもビートルズ全米デビューで有名なエドサリバンシアターが隣にあります。 次回ニューヨークへ来たときにはまた必ず滞在したいです。すばらしいサービスに感謝いたします。 I had a great vacation .The hotel was very clean and accommodating.  I stayed here all alone, but I was relieved even in the   middle of the night because this hotel is located in a safe area.  All the staff were very helpful, Especially Mr.Majid helped me a lot , I really appreciate his kindness.  The room was warm, cozy and clean, The bed and pillows were fabulous and comfortable , and the bathroom was a great size.  The location is great and very easy to walk to many attractions. Close to all subway lines and theaters. Furthermore its next to;5
I will stay here again. And again. Great location, friendly people, Room was small (I booked a small room) but very nice, modern in a New York  way, Great bathroom. And all the action and restaurants you could wish for just out the door. For the price this is the place to stay. Next to Colberts theatre and Gallaghers Steakhouse.;4
This review is for Iceiz and Shay. These ladies are the epitome of great customer service! We had recently taken a trip to NYC for the holidays and it was unexpectedly extended due to the whole Southwest Airlines debacle. These wonderful ladies not only gave us a great rate because of the issues outside of our control, but they let us check into our room early so we could make our sons basketball game!! The whole staff is great but these two went the extra mile and it was very much appreciated! I love the Ameritania and is my preferred hotel when we stay in NYC!;5
So I can't lie the hotel pictures online are much nicer,they were clearly taken when it was first refurbished, it's nice enough but the place has wear and tear now,if your from UK it's premier Inn vibes,but it was clean and a absolutely fantastic comfy bed which you need as new york is alot of walking,but the one thing I can say with my chest is the staff are all amazing, welcoming and friendly with great advice and honest opinions, Iceiz and Jeff where the best ever and helped us navigate NY with ease and every suggestion they had didn't fail us, Jeff even drew us out a map of what to do and how to navigate the subway, the two of them made our trip and I couldn't thank them enough, lovely people and professional with such nice vibes,this hotel is such a great location it's;4
The hotel is conveniently located in Times Square South and very easy to get to by train. You’re walking distance to many attractions in midtown. Leaving the hotel, it took us only 10-15mins to walk from one side of Times Square to the next. The hotel itself was a bit worn. The windows in our room were covered in grim from the outside, making them opaque. There were loose tiles in the bathroom, rips in the wallpaper, and many of the installations like the towel racks kept falling off the walls. I also hate when a hotel uses a top sheet, instead of a fitted sheet for the mattress. This leaves parts of the mattress exposed. But, all of these issues were mostly aesthetic. The shower and bathroom were huge. The ceiling, super high. The rainfall shower head was so luxurious. The bed;3
Me and my friend came here from Long Island looking for a fun weekend, we had a lot of stuff coming since we planned on doing a bunch in the time we were here. Majid at the front desk was an absolute amazing help. He made staying in this hotel a full 5 star experience with everything he accommodated us with. Couldn’t ask for a better experience;5
Great location, super helpful staff, very clean and comfortable. Not fancy and a little dated but economical and just perfect for us - walking distance to everything but at the same time a few steps away from the mayhem of Times Square. Satisfied customers!;4
"Location, location, location — Ameritania was the perfect base camp for my wife and I to see three Broadway plays in two days. We also had tickets to watch a live taping of The Late Show With Stephen Colbert, which was around the corner from the hotel. And one of the plays was on the same block! Add a real bargain of a rate; a comfortable, modern lobby and room, and a friendly and professional staff, and we were thoroughly pleased. Bravo!";5
Cozy, clean room and great front desk service!! Shay took good care of us!  Can’t beat the location if you are interested in staying in Midtown.  Close to all subway lines and theaters.  For restaurants, go over to Hells Kitchen and check out the plethora of choices on 9th Avenue.;5
Best sleep ever! Best staff ever, especially Majid, but they all made us feel at home. Best shower. Very nice amenities and decor. Perfect location. AND very reasonable. Have already recommended this hotel to friends . 👍🏻;5
Hotel was near to the central attraction!  10-12 mins walk to times square and the 5th, also near to the central park..   The room was tidy and clean,  they have a very great staff in concierge, receptionist and also the Helpful and Handy Mr. JEFF him self.   You can get the daily hot milk and tea during this winter season, everything was so exciting and definitely i’ll be back someday.  It’s fun to celebrate NEW YEAR EVE in this hotel.;5
We stayed here just this week for three nights and had a great time. The hotel is in a great location to many of NYC key sites and several awesome places to eat.  Just blocks away from Times Square, Rockefeller Center, Central Park, and other key locations makes it a good choice for anyone wanting to visit NYC. The room was plenty large for the 2 of us.  The bathroom was modern with awesome water pressure and great fixtures - the rain showerhead was sweet.  The bed was a little soft for our liking but not uncomfortable by any means. Typical NYC noises were noticed but again, nothing that was annoying or bothered us at all.  The room/hotel decor is a modern mix of colors and textures that make it fun compared to some of the often times stale chain hotels. I'd asked the hotel to;4
Amazing place, quirky interior, warm inside, staff really friendly and helpful. Jeff is great, ask him anything and you will be sorted.  The hotel is in a great location on Broadway half way between Times Square and Central Park. Loved it.  Great place.  Amy and Pete;5
Our experience at the Ameritania was phenomenal! The people were extremely friendly and helpful! A special shout-out to Mikey, Majid, and Hassib! They made sure our stay was wonderful and went above and beyond! We especially appreciated the food suggestions in Koreatown! The hotel was very conveniently located and easy to get around the city. The room was clean and housekeeping made sure we had what we needed and that our room was clean. The doorman (who briefly lived in Minnesota) was very friendly and helpful as well and we really liked that we were able to store our luggage before and after check in so we could enjoy the city! If we make it back to NYC, we will definitely stay again!;5
We stayed the week before Christmas 2022. We found the hotel to be very conveniently located between Times Square and Central Park, each less than half a mile away and a subway station across the road. The staff were extremely friendly and helpful, especially Jeff the doorman. The hotel itself was very good, with nice rooms and a great view of Broadway from our bedroom window. I can’t fault it in any way, would definitely recommend.;4
"We stayed in the ""Ameritania at Times Square"" on the corner of W 54th Street and Broadway, for 5 nights in December 2022, the hotel is well situated for the Metro (nearest station entrance is on W 53rd and Broadway) and about 4 blocks from Columbus circle (Central Park).   The hotel is clean and the rooms are comfortable - especially the beds - could do with a matrass like that on my bed at home! the only issue was the lack of heating in the bathroom - if you can, leave the door ajar and the heat from the bedroom will sort it out :) our room was on the 8th floor, had a fridge along with a TV and a safe, I read somewhere that it doubled as a ""laptop safe"" but it wasn't big enough, the rooms are safe but if you are nervous and you have a laptop you could always invest in a";5
Loved this hotel! Very central location for Times Square and it had a lovely Christmas feel with the decorations and music playing in the lobby. The doormen were fantastic and couldn't praise them enough so friendly and helpful! Special mention to Jeff for his assistance throughout our stay. Will definitely book next time we are visiting!;5
If you travel to NYC frequently, you know that hotel rates can be high and rooms can be small. In the case of the Ameritania deluxe king, the room was a very generous size for NYC and the price (during festive season) was reasonable.   The room itself has correct amenities for a three star property (for example, don’t expect slippers) and I was especially grateful for the mini-fridge to store insulin. I also appreciated that it had an overhead light as well as lamps—so many hotels don’t actually have lights in the ceiling. There were also lots of hangers in the closet, another wonderful surprise in an era of Euro-“design” hotels who think you don’t need anything more than a couple of pegs on the wall. There was also a huge full length mirror as well as heavy curtains and good;4
This hotel had the perfect location. I took my boys to NYC for 5 days earlier in December and they were able to navigate to Times Square and around the area no problem. Being right next to the Ed Sullivan Theatre and the Colbert added to the cool factor. The room wasn't huge, but we didn't expect that in Manhattan.   We got a decently priced clean, lovely hotel right in the middle of all the action as far as they were concerned. And Jeff the doorman saved me a fortune by teaching me how to use the Metro lol. He was so helpful! He arranged our transport to the airport and made us feel so welcome!  Definitely a great launching point for an action packed holiday.;4
Thank you Sedik, Majid & Anabelle for going above & beyond to make our stay so special. I highly recommend this hotel to anyone visiting NYC. The staff is helpful & friendly. Rooms are clean & comfortable. I will stay at Ameritania in the future!;5
The Ameritania is my favorite hotel in NYC. It’s location is unbeatable, the rooms are lovely and most importantly, the staff is the friendliest you will find! I want to personally thank Sedik, Majid, and Anabelle for their amazing customer service. Anabelle gave us a beautiful room on the 10th floor that was nice and quiet. Sedik and Majid always take such good care of me. It almost feels like family! Warm, welcoming and relaxed energy, from providing me with bottled water, hot tea and extending my stay last minute - this staff is top notch! I had such an amazing stay, I brought my Mom back one month later! Thank you for making us feel welcome and at home Ameritania. We look forward to seeing you all again soon!;5
Great service by desk staff and concierge, Jeffrey.  Jeffrey set us up with transportation and great advice on nearby places to eat, etc. The room met our needs, bedding was great. Location was perfect.;5
Seems to be the only hotel in NYC that hasn't bothered at all with decorations. No lights outside, no Christmas tree, just one menorah and a couple of flowers in the lobby. Really depressing returning here after seeing all the other hotel frontages and lobbies, would not recommend for a festive vacation.;1
We had a great stay in NEw York. The hotel is clean and perfectly situated for discovering the city. Near to Central Park, subway station. In the same street you have a Starbucks and the three monkeys and the black iron burger such are great affordable cafe and restaurant.   “The guy” at door, a true gentleman called Jeff gave us great advise and saved us money, expensive taxi rides and time in sorting things out on our day of arrival. He was at the door, and at our service a the time. 🍀;5
The hotel experience was amazing overall! It really was a home away from our home during our stay in NYC. Amazing location, free coffee or tea in the morning. Staff super helpful. The bed so comfy! I’m confident to say we had the best sleeps ever there!  Shower amazing too! And so many amenities including complementary water, toiletries, iron and ironing board.  Also we can not mention Jeff! So helpful! He helped us with our luggage after we checked out and booked us a taxi to the airport. Saved us some dollar as we meant to book an Uber and he found a cheaper solution! It’s a great place to stay if you’re traveling to NYC, would definitely recommend. Very good price for what you get too.;5
The Ameritania completely exceeded our expectations! A well decorated Queen sized room was perfect as a base for my daughter's 21st birthday trip to New York.  The lobby looked  like the photos but probably looked more classy in person with ample seating and was beautifully decorated.  Coffee was served in the mornings between 9 & 10am. At the time of our visit the bar wasn't open.   The bedroom was beautifully decorated and the wet room was enormous! A fantastic double shower provided plentiful hot water and the central heating could be personally adapted to suit the individual's needs depending on who was staying in the room.    There was a safety deposit box and the queen sized bed was honestly like sleeping on clouds.    Shower gel, body lotion and shampoo/conditioner came;5
I'd like to say a huge THANK YOU to Majid, who was very respectful and understanding, he helped us find what we were looking for and i couldnt thank him enough! He even gave us recommandations of where to eat and what we must see!!   From Julien.A;5
Where should I start, we arrived at the hotel early in hoping we can leave our suitcases there before heading out for lunch with our friends. No one from the valet team assisted us with our luggage and we had to take care of ourselves, carrying everything to the front desk.  The first lady who checked us in when we arrived early at 2pm before the hotel’s standard check-in time have a very bad attitude, was very rude, no smile on her face. I tried my best to take a deep breath and ignore her poor behavior and go out for lunch with my friends.  We returned to the hotel after lunch around 6 pm to complete our check-in and get settled in our room. The second man who helped us was very rude, with no smile on his face and no simple greeting words such as “Good afternoon” He seems to;1
