Review;Rating
This hotel unfortunately didn’t do justice to the 4 stars it holds. The only positive aspect was the location. The room was way too small and the bed felt small for two people. Also the bathroom is super old with an old bathtub. Also there’s no tea/coffee or even minibar in the room. Super unhappy.;2
One of my best trips ! I’m so sad to be back.. I visited THE monument I wanted to visit, The Brooklyn Bridge! Pass by this bridge which offers us an unforgettable view and memories. Without forgetting the unforgettable Times Square, with its lights and the incredible crowd there was. It was amazing! I really liked, i didn't get tired of it How to pass a trip to New York without going through Central Park? Its acres of grass, the ideal place for family picnics in a peaceful setting.  Who says New York says food! We started with Mac and cheese at Beecher's, an artisan cheese maker who also offers... its little pots of mac and cheese, ready to eat to go! We also discovered the Lobster Roll, it's a lobster-based sandwich served in a hot dog bun, Ed's Lobster Bar in Soho for the best;5
Short trip to NYC with my son and we stayed in the New Yorker. It’s a bit tired but the process of updating rooms has started so it will be better in time. This said, we had everything we needed.  The location was central. Within walking distance of all we wanted. Our room had 2 queen size beds. We looked down towards the Hudson River. Our bathroom had the best shower ever. Plenty of towels, travel size toiletries and a hairdryer. Coffee and creamer was provided as well. Staff were always pleasant. It’s a great place to stay.;5
I had stayed here many years ago and the property was definitely looking and feeling a bit tired.  However this was not the case on my recent stay when everything was updated, staff was personable and professional, location is still great.  Would highly recommend.;5
Love this hotel and its central location close to all attractions of the Big Apple. Accros the street from Madison Square Garden, one block away from Penn Train Station. I highly recommend it to everyone visiting NYC for business or pleasure.;5
Decent hotel, good location (though 8th Ave is a hub for homeless people constantly asking you for money). The room was pretty small and basic but it’s all we really needed given it was just a place to sleep at night. The only downside was that the duvet was insanely thin and the TV was quite blurry.   Check in was quick, they took my debit card and immediately took $300 ($100 for the facility fee which they keep and $200 for the security deposit which I’m waiting to get back) which was a bit jarring but it is what it is - what i felt wasn’t fair is that despite paying this facility fee it costed $30 PER DAY to use the coffee machine in the room which was just a basic machine with some plain coffee pods. It was also another $30 I think per day to have a mini fridge in your room,;3
Disappointed. Luckily we stayed only for one night on our way to Washington DC by train. The location was good near Penn Station though. But like often near stations you can expect smell of weed everywhere.  Very crowded and fuzzy in the lobby since there was some kind of youth happening nearby. The room was outdated to say the least, and very small. You could almost hit the toilet seat closing the door. The bed was not very comfortable. The window was small and the view was the opposite brick wall. Sorry, but cannot recommend this hotel.;2
I enjoyed my stay at The New Yorker. Very conveniently located near the train station and has subway access just outside. I also enjoyed looking through the mini museum they have on the basement level. There is a lot of rich history at this hotel and I hope they continue to preserve it in their renovations.  Yes, the rooms are small, but that is to be expected staying in the heart of NYC.  My room had a Keurig and a mini fridge.  I saw some reviews saying they didn’t have that. The room was kind of perpetually damp. I think that has more to do with the weather while we staying. The paint around the bathroom windows was peeling due to the lack of ventilation in the bathroom. I suggest cracking the window open while bathing to help prevent this. (Yes, you can open the windows a;4
Would have given 5 circles but there we a ton of people in the evening but not many elevators on line. We booked through booking.com and got a great rate, then a week before arrival got an offer for  a high floor with a view for an extra $34 a night. SO WORTH IT!  We lucked out with a view that included the Chrysler and Empire state buildings. Near times Square, trains, Madison Square garden, on several bus routes and near subway.;4
When you walk into The New Yorker expect a 10-15 min wait to check in, not including the people who have been waiting even longer. No apologies offered just them in the back chatting. (March 5th 9:30 PM)  When you arrive at the elevator if you’re  on floor 20-40 expect there to be only 2 that actually work and are over crowded so you may end up waiting an additional 15 min to even get to your room. (March 5-9th ongoing)  When you arrive at your room at the 33rd floor have the expectations that your room will smell like kitty litter and cat pee… they chalk it up to “the hotels haunted” yet those smells are USUALLY associated with meth soo. You be the judge. (Room 3329 march 5-9 ongoing)  EXPECT to be harassed by staff…. They had some high school convention going on and they;1
Great location easy walk to broadway, Empire State  building, Macey’s Flat iron district, Little Italy  Time Square, Madam Tussauds and also recommend the big bus open top bus hop on hop off. Hotel rooms are  clean comfortable with very helpful staff on reception .;5
What a disappointment, staff waking me up when signs on door, broken glass in hallway when getting ice, which I stepped on, and no help from staff, the place stinks of cannabis, and when I complained they couldn't give a bollox, I'm allergic to cannabis, what a horrible place,;1
