Review;Rating
We had a lovely stay here for 2 nights. Excellent location, the Hotel was absolutely perfect. The staff where top class, a special mention for Gabi, she very kindly gave us some Prosecco when she found out it was our Wedding anniversary, very kind and the kind of service you'd expect in a 5 star hotel.  The breakfast was amazing, great value for money and everything was perfect. The room was also spotless, quiet and very comfortable, we always use Premier Inn these days as you can pretty much guarantee that everything will be great. Keep up the good work, you have become leaders in the Hotel sector;5
We had been given a present for afternoon tea for 2 at the ritz and decided to make it a two night stay in London. We only live 8 miles away but I felt like I was on holiday in another city as I have never done the London sightseeing before.  The hotel is literally a 2 minute walk to the London eye, we travelled up by train to Waterloo station and it's about a 5 or 6 minute walk from there. The staff who greeted us were very friendly and professional and we booked the dinner/breakfast deal for one night and morning. We went to our room on the 6th floor (premier plus room) and we were delighted how fresh and modern it felt, a really lovely bathroom with shower only, coffee machine, fridge, ironing board/iron and the view was looking directly at the London eye. The only criticism;5
The Premier Inn at Country Hall was the perfect base for our weekend away in London. The hotel is situated on the South Bank next to the river Thames. It’s also next to the London Eye and a very pleasant walk along the river to London Bridge. The hotel staff were incredibly friendly. The room was ideal. Spotlessly clean, well deigned and equipped. Exactly what you would expect from a Premier Inn. The breakfast was excellent. Plenty of hot and cold food in a very pleasant dinning room. I would definitely recommend this hotel and would definitely stay here again next time we visit London.;5
Great location, lovely friendly staff , great price for central London , our room was very large double, I was very happy with the room , breakfast was just ok but lots of choice, would definitely recommend this hotel and am sure we will stay again .;4
Lovely hotel, fantastic service and friendly staff, clean rooms, super comfy beds, USB charger in room, breakfast had great choices and well cooked, fair price, Wi-Fi good, Great location, close to main attractions,;4
A fantastic historic building in an iconic location close to public transport and walking distance to everywhere including lots of great food.   Friendly, knowledgeable, flexible, and attentive staff took this from a great experience to an exceptional one.   They will even hold your bags after check out while you get your day sorted!  (Thanks!)   Our best stay in London.  10/10!;5
Receptionists very kind and friendly. Nice bed in the my room. Breakfast staff really hard workers. It was a bit noisy in the evening but overall it was ok. I recommend this hotel. Price and quality.;5
Thank you for a lovely stay. Hotel clean and well maintained. Excellently situated for central London, and sightseeing. Just a short walk from the Houses of Parliament. Staff very helpful and friendly. But I must give a special mention to Yasodara. A member of staff in the breakfast dining room. A very attentive and friendly member of staff. A really asset I’m sure to the  Premier Inn, London County Hall team.;5
Overall I chose premier inn because of its price and location. It was on the cheaper side of hotels I could find that were around popular landmarks. I also liked that it had a restaurant onsite for nights that you didn’t want to leave your hotel to eat.;3
Fantastic location near the London Eye and Westminster, large rooms, great value food and drink. Love this hotel , stayed many times. Staff very welcoming, perfectly clean, safe and ideal as a base for sightseeing;5
Really good location close to tube, national rail and bus links also great for walking to Londons iconic sights. staff were friendly and the check in was quick. Room was nice with comfy bed and good facilities. Would really recommend this hotel;5
Just a short walk from Waterloo underground, the Premier Inn County Hall is an ideal base for visiting numerous sites, theatres, etc. within a half hour walk across the Waterloo footbridge and along the South Bank. The hotel is spacious and the welcome friendly.  The restaurant was well priced for central London and the beds were, of course, very comfortable so we slept well.;5
Vastly overpriced.  A basic premier inn with a premium price.  No phone in room. No hairdryer.  Breakfast was mayhem. The cheaper premier inn waterloo uses this one for breakfast resulting in chaos.  Food substandard.  Pictures show lovely fluffy pancakes what you get is dry cold pancakes probably cooked day before.  Tables full of dirty plates.  Trully awful.  Paid £569 for 3 nights.  Half that amount would still be too much.  Grubby room.  Avoid this place only thing going for it is location;1
Hotel is located on prime location. Prices are always economical sometime even cheapest if book in adavces. Rooms are clean and comfortable.  Breakfast is full of varieties and worth agaist money value;5
Stayed here with my wife for a 50th Birthday weekend and got a free drink in the room when I told them about our birthday celebrations which was a nice touch. Everything from the friendly reception staff to the quality of the breakfast and efficiency of the waiting staff was excellent.Would stop again when next in London.Good location for sightseeing.;5
Another wonderful stay at Premier Inn County Hall for my Husband's 60th birthday. Great location, friendly staff, clean spacious room. Very accommodating, after paying £10 early check in fee we were giving access to our room at 8:30 am. Thank you Premier Inn;5
I had a lovely stay with you guys, just wanted to say I was having drinks at the bar and I was served by a young lady named Zuzanna, she was very lovely and very welcoming she also was very polite and made me enjoy my time even more thank you 😊;5
Each time in premier inn for the location … the room is clean and nice and the bed is amazing …the friendly staff… the restaurant is good and we eat later … thank you kristine and miriam ( restaurant) for your smile ☺️☺️☺️🎡🇬🇧 thank you premier inn;5
Super location, large room with 2 double beds in, very clean . Very handy for the undergound at Waterloo, which has many line coming in and out. Frances on reception was very helpful and friendly. We would definately stay here again .;5
Great location, comfortable rooms, decent food. Shame that towels are not checked daily to see if they need changing, and tea and coffee facilities are minimal. Given the price, I'd expect a bit more, even of a Premier Inn.;4
Nice hotel, single glazing so really cold at night even with the heat set at 25° maybe extra blankets in the winter months is an idea? Our room was extremely large in size it could easily fit 3 double beds with room to spare +/- 40m2 our ooms in the past in different hotels were around 12m2 The meal deal option made our trip budget friendly. Location is awesome! Right behind the London Eye. 5 minute walk across the Thames to several theatres. Big Ben and the houses of Parliament also a 5 minute walk. Extremely close to the Tube (Waterloo) would book again.;5
