Review;Rating
It was not the first time that we have stayed in this hotel, as it is well located for shopping and sightseeing. On this occasion the room was cold and despite good glazing was somewhat draughty. Even when the air conditioning controls were set at maximum you needed to be wearing thick clothes to be comfortable. Two requests to reception to resolve the heating problem got nowhere.;2
read reviews bts storm lived nola 6 years replanted baton rouge, love nola time excuse days splurge stay different hotel eat new restaurant time old stand-bys, usually look best deal time decided splurge forgot check trip advisor review going friends mention hotel looked online suckered space loft spoon bath tub luxury delivered n't 5 star, service amenities positive attitude, want sit room know n't nola work going spa gym nice hour walk outside ihotel thought connected bad mini-bar decent little menu just no items.the shower pressure desired ask multiple times blanket mattress h.a.r.d.lots room b.i.g, room.now want privacy place 5 rooms floor 4th no noise bar saw guests, heard celebrities stay ph sure service horrible stay, no worse not 200/night, wo n't stay,  ;2
bahia principe not mexico stayed dec. 10 17th, 2 days tropical storm olga going, nothing bad heavy rain winds unfortuntately fatalities country family worried away.i food so-so, stuff, mexican italian restaurants good tho.we left 2 room everyday maid guess thats considered cheap, got glimpse maid cleaning room door got flowers towels formed swans guess takes fiver nowadays little extras granted mexico.i trip medical ctr warned charge 90us consultation, perfectly clear did n't want need consultation needed rent equipment help cause hurt leg, 10 day rented equipment fine.i spoke line spent 200 time consultation got cream bites legs.they good prizes win dart games little bottle rum teeshirt, activity team try hard understand english.i stayed bahia principe mayian riveria bit disappointed dominican not standard, tip bar staff kind feedback, obvious tipped did n't way guests got treated, got nothing tipping certainly not single drink, like staff short memory unless got hand everytime.the lobby great grand place relax play cards read, definately certain places hotel limits upgrades think advertise better entrance pools no misunderstandings.there mosquitos, 5th trip d.rep, bitten not sure time year not.anyway great time n't expect true 5 star not, got great beach lobby rooms bad workmanship like tiling centre things noticed stuff like soaking tub resorts, mirror dirty n't cleaned ages.do n't think going back.. probably head mexico know treat right n't tip single time,  ;2
terrrible reception staff good location, uk trip advisor member, spent 5 nights beginning nov. arrived 9am understandably room not ready took walk came waited lobby area room, staff reception said ready, waiting hour asked room ready half hour left sat lobby, room deluxe 19th floor excellent, impressed size decor facilities, pool jacuzzi facilities excellent, staff lower opinion hotel 2 3 occasssions no answer reception posted note asking contact arrange refill mini bar, ordered breakfast bed arrived time looked great stone cold, tried phone somebody no answer, n't huge trolley came removed room got phone later afternoon told left corridor, remained 24hrs, check informed staff tried lots not able mini bar refilled used approx 45, told did n't matter n't charged, did n't complain breakfast cost approx 75, paid phone calls faulty phone went wrong disconnecting reception lost 40mins international phone card left, got uk charged 45 dollars, say not staff poor guys open doors collect deliver luggage pleasant helpful credit hotel, does n't conatct details web page n't really want phoning australia complain problems just experience, hotel really nice best sydney customer service things needs improve greatly,  ;2
The location is convenient to Universal Studios and to the red line on the Metro for access to central LA. The room was comfortable and quiet. Housekeeping is definitely sub-par at this hotel however. There was hair on the floor of the bathroom. The plastic vent above the bathroom sink has obviously not been cleaned for a long time, as there was layered dust on it. The biggest problem was that our room was completely skipped for servicing and we came back from a long and hot day to find a room with still unmade beds and dirty towels. We had even made a point of letting housekeeping know when we left the room earlier that day so that they could make use of our absence and access the room. By time we got back in the evening, it was too late for them to offer anything but an;2
n't known hospitality package deal herded charter flights rode charter type buses melia caribe, checking provided adults map property, told room subsequently, property massive maybe 100 acres includes property identical melia tropical gets confusing just went tried way, got ask help got room n't type room paid called desk, acknowledged error said fix 15 minutes, moved room keys bellboys able let new room service desk did n't usher keys, n't activate safe n't leave room venture property settled time precious vacation, 15 minutes turned 2 hours ended having desk care, told busy away moment asked return desk gladly, instead told thought wanted hear did n't care it.some hostesses restaurants property international awful, rumor employees work 16 hour days little time weeks n't know true course understand attitudes, ways lacked sense urgency came guests needs, believe related way restaurants set employees available meal times just overwhelmed, employees went way, speaking spanish definitely plus.i recommend visit dominican republic beauty tranquil beaches recommend property did n't understand layout place needed extra help understanding, time guests people charter decided n't worth second trip, retrospect stay,  ;2
We booked our room online but they charged us extra 29$ per night. Our room was small and noisy. It was my first and last staying in that hotel . The location was good . Their price is not reasonable and I am not satisfied at all.;2
Pros: Relatively short drive to Universal Studios / Kodak Theatre from hotel.  Cheaper rate than most hotels near the area ($72/nite). A short 5 minute walk to the metro station.  Cons: Shady area during the night.  Police said there are transients and prostitutes that stand in front of the hotel starting at 11pm.  Do not walk around by yourself in the evening.    Hotel staff were not knowledgeable about surrounding area and terrible at giving directions.  Do not rely on staff giving advice.  Staff were not polite or pleasant when checking in.  They overcharged me and expected me to pay the higher rate even though I was quoted less.  I found only one staff member at the front desk helpful.  The rooms were nice, clean, and comfortable but our toilet kept clogging. At least there;2
good hotel lacking customer relation jaust returned short trip florence hotel degli orafi magnificient position lovely rooms lacking staff courtesy.having opinion customer relation starts office conciergerie say realy disappointed,  ;2
disappointed, booking expedia got assigned room average view not elevated floor requested specifically issues housekeeping no attention details hair arrival carpet stains no proper restocking towels soap coffee constantly make requests express annoying.i hotel charmless cold return.other staff friendly,  ;2
Got here yesterday...  Although we were told at the agency that we will get a nice room for our honeymoon, we got a less then a standard room, with a view to the service road. We asked for change and they told us that they will check it up... But no answer...  No safety deposit box in the room.  The water pressure at the bath was very law, it was fixed at midnight, after we already took a shower after a long day.  WiFi is over priced, 8$ per day. So far, so bad...;2
not close 5/6 star week november 13 2005. service poor maid/turndown service poor 6:30pm room getting ready dinner hear knock door housekeeping daily activities 2 chocolates, honeymoon received zero recognition speaking conceierge, pool service non existent bar service slow, ashame anybody misplaced hurricane ended secrets punta cana instead secrets mexico, capri year fabulous thought secrets punta cana campare not close, resort need lot cosmetic repair renovation staff lesson friendliness, felix omelet chef/pool bartender afternoon/sports bar bartender night nicest guy resort worked hard smiled kudos, high expectations staying capri year, married resort week sunscape beach service staff friendliness blows secrets away,  ;2
"The hotel is very close to where my daughter goes to school, so we thought we would check it out.  I haven't been to any other shared bathroom facilities in NYC, so I don't have anything to compare it to.  The rooms were clean and there were fresh towels, soap and a roll of TP each on the beds when we checked in.  There were 2 bathrooms on our floor and they always seemed to be busy.  The bathrooms were modrately clean.  The hallways, doors and walls were dirty.    If you don't mind sharing a bath and want to save about $100; it's a good alternative.  It is in a very nice neighborhood on a quiet street.  I don't think I would stay there again, because I found sharing the bathrooms with strangers a little bit hard to take.  The Hotel Beacon on 75th is a much better alternative,";2
ah so-so sheraton pretty average overall, lots rules pool sauna area closes 10pm airport hotel relaxing services nice just arriving long flight 10pm.the rooms amenities average little average price hotel commands, bars downstairs looked like place time kill flight good hang, n't expect extra hotel exactly reserve regardless starwood status,  ;2
They say they have WiFi but the rooms have a terrible connection. i could hardly attach a doc on my emails and send it. also terrible elevators, take for ever to get one! good prices for that area....;2
just n't impressed just completed 13-night stay san francisco business, original reasons decided stay diva 10,000 frequent flier miles airline offering stay free wireless internet service offer rooms laptop, internet nice convenient happy tons airline miles hotel left lot desired, floors creak like n't believe neighbor takes shower 6 sounds like loud freight train making impossibile sleep, speaking 6 mention morning gave unrequested wake-up 6 saturday, saturday, morning able sleep screwed, room entire hotel really strange odor really went away time tv far fewer channels practically hotel stayed before.the excercise room okay, nothing special needed treadmill stairmaster ca n't complain, mentioned in-room wireless internet nice sure did break bunch twice day, running hour later inconvenience, mention room pretty quiet creaky floors loud pipes gave room faced courtyard instead geary street heard really loud room facing street definitely mind decide stay here.the reason hotel 2 dots 5 instead 1 free internet decent location, hotel needs major overhaul seriously doubt stay no matter miles airline offers,  ;2
